Epoch	Phase	Loss	Accuracy
1	train	0.0425	0.5841
1	val	0.0399	0.6558
2	train	0.0399	0.6406
2	val	0.0382	0.6710
3	train	0.0380	0.6741
3	val	0.0375	0.7245
4	train	0.0359	0.7034
4	val	0.0352	0.7533
5	train	0.0344	0.7232
5	val	0.0340	0.7486
6	train	0.0327	0.7429
6	val	0.0304	0.7738
7	train	0.0313	0.7579
7	val	0.0352	0.7836
8	train	0.0303	0.7670
8	val	0.0282	0.8021
9	train	0.0294	0.7804
9	val	0.0264	0.8138
10	train	0.0284	0.7892
10	val	0.0407	0.7577
11	train	0.0275	0.7983
11	val	0.0392	0.7809
12	train	0.0268	0.8030
12	val	0.0379	0.7919
13	train	0.0263	0.8106
13	val	0.0299	0.8008
14	train	0.0236	0.8309
14	val	0.0260	0.8400
15	train	0.0227	0.8410
15	val	0.0600	0.7502
16	train	0.0222	0.8445
16	val	0.0266	0.8409
17	train	0.0220	0.8479
17	val	0.0319	0.8194
18	train	0.0213	0.8528
18	val	0.0242	0.8618
19	train	0.0211	0.8552
19	val	0.0414	0.8199
20	train	0.0206	0.8587
20	val	0.0430	0.8071
