Epoch	Phase	Loss	Accuracy
1	train	0.6521	0.6151
1	val	0.6043	0.6702
2	train	0.5798	0.6920
2	val	0.5398	0.7292
3	train	0.5358	0.7285
3	val	0.5043	0.7521
4	train	0.4952	0.7545
4	val	0.4541	0.7890
5	train	0.4628	0.7751
5	val	0.7406	0.7071
6	train	0.4346	0.7930
6	val	0.5332	0.7733
7	train	0.4087	0.8063
7	val	0.4824	0.8044
8	train	0.3824	0.8251
8	val	0.6534	0.7640
9	train	0.3435	0.8432
9	val	0.7439	0.7588
10	train	0.3249	0.8553
10	val	0.6850	0.7725
11	train	0.3098	0.8630
11	val	0.7876	0.7699
12	train	0.3010	0.8662
12	val	0.7466	0.7754
13	train	0.2706	0.8831
13	val	0.7207	0.7854
14	train	0.2603	0.8870
14	val	0.6399	0.7974
